Date,Adj_Close,Ticker,Market,Daily_Return,Cumulative_Return
2014-01-02,56.92238235473633,BND,US,,
2014-01-03,56.92949295043945,BND,US,0.00012491739468689644,0.00012491739468689644
2014-01-06,56.97922134399414,BND,US,0.0008735084571713791,0.0009985349682590794
2014-01-07,57.05030059814453,BND,US,0.0012474592048437039,0.0022472398047403974
2014-01-08,56.86558151245117,BND,US,-0.0032378284383547395,-0.0009978648105619659
2014-01-09,56.97214889526367,BND,US,0.0018740225630009544,0.0008742877312690744
2014-01-10,57.24919891357422,BND,US,0.004862902728486995,0.00574144203594984
2014-01-13,57.32734298706055,BND,US,0.001364981082168537,0.00711426007788174
2014-01-14,57.24210357666016,BND,US,-0.0014868892566610725,0.005616792704341789
2014-01-15,57.20663070678711,BND,US,-0.0006196989218879567,0.004993613062070468
2014-01-16,57.33447647094727,BND,US,0.002234806744963569,0.0072395795671869045
2014-01-17,57.39840698242188,BND,US,0.0011150448283416825,0.008362696851284435
2014-01-21,57.39840698242188,BND,US,0.0,0.008362696851284435
2014-01-22,57.29891204833984,BND,US,-0.0017334093281110574,0.006614791546443177
2014-01-23,57.45524215698242,BND,US,0.0027283259499011336,0.009361164803773692
2014-01-24,57.60444259643555,BND,US,0.0025968116024204235,0.011982285587568642
2014-01-27,57.49788665771485,BND,US,-0.001849786820561805,0.010110334093046847
2014-01-28,57.54762649536133,BND,US,0.000865072449402815,0.01098415271392783
2014-01-29,57.67548751831055,BND,US,0.0022218296519931346,0.01323038728212289
2014-01-30,57.67548751831055,BND,US,0.0,0.01323038728212289
2014-01-31,57.75362396240234,BND,US,0.001354760010775502,0.014603071292515368
2014-02-03,57.9394645690918,BND,US,0.003217817237069598,0.01786787854410421
2014-02-04,57.84689712524414,BND,US,-0.001597657909614858,0.016241673877005258
2014-02-05,57.72587203979492,BND,US,-0.002092162094488592,0.014115531568080097
2014-02-06,57.70451736450195,BND,US,-0.0003699324850086061,0.013740377289401362
2014-02-07,57.7757453918457,BND,US,0.0012343579081308675,0.014991695740900202
2014-02-10,57.81128692626953,BND,US,0.0006151635808897549,0.015616081667025439
2014-02-11,57.69027328491211,BND,US,-0.002093252854096783,0.013490140405409301
2014-02-12,57.590606689453125,BND,US,-0.0017276152422915914,0.011739219390932698
2014-02-13,57.73301696777344,BND,US,0.002472803925963829,0.014241052104694285
2014-02-14,57.71161651611328,BND,US,-0.00037067960041137216,0.013865093636779235
2014-02-18,57.78995132446289,BND,US,0.001357349058620505,0.015241262467195371
2014-02-19,57.74010467529297,BND,US,-0.0008625487308348001,0.014365567404763135
2014-02-20,57.73301696777344,BND,US,-0.00012275189938415476,0.014241052104694285
2014-02-21,57.7757453918457,BND,US,0.000740103779716117,0.014991695740900202
