Date,Adj_Close,Ticker,Market
2014-12-09,170.51214599609375,SPY,US
2014-12-10,167.77865600585938,SPY,US
2014-12-11,168.6292266845703,SPY,US
2014-12-12,165.90390014648438,SPY,US
2014-12-15,164.7642364501953,SPY,US
2014-12-16,163.44293212890625,SPY,US
2014-12-17,166.6471710205078,SPY,US
2014-12-18,170.7681427001953,SPY,US
2014-12-19,171.49473571777344,SPY,US
2014-12-22,172.2836456298828,SPY,US
2014-12-23,172.51614379882812,SPY,US
2014-12-24,172.53277587890625,SPY,US
2014-12-26,173.08914184570312,SPY,US
2014-12-29,173.32162475585938,SPY,US
2014-12-30,172.39158630371094,SPY,US
2014-12-31,170.6809539794922,SPY,US
2015-01-02,170.58961486816406,SPY,US
2015-01-05,167.50880432128906,SPY,US
2015-01-06,165.93106079101562,SPY,US
2015-01-07,167.99868774414062,SPY,US
2015-01-08,170.9799041748047,SPY,US
2015-01-09,169.6097412109375,SPY,US
2015-01-12,168.28111267089844,SPY,US
2015-01-13,167.8077392578125,SPY,US
2015-01-14,166.79470825195312,SPY,US
2015-01-15,165.26669311523438,SPY,US
2015-01-16,167.4341278076172,SPY,US
2015-01-20,167.79116821289062,SPY,US
2015-01-21,168.63815307617188,SPY,US
2015-01-22,171.14602661132812,SPY,US
2015-01-23,170.2076416015625,SPY,US
2015-01-26,170.60618591308594,SPY,US
2015-01-27,168.35581970214844,SPY,US
2015-01-28,166.19676208496094,SPY,US
2015-01-29,167.73301696777344,SPY,US
2015-01-30,165.6238250732422,SPY,US
2015-02-02,167.67491149902344,SPY,US
2015-02-03,170.0997314453125,SPY,US
2015-02-04,169.45199584960938,SPY,US
2015-02-05,171.1626739501953,SPY,US
2015-02-06,170.6892547607422,SPY,US
2015-02-09,169.92529296875,SPY,US
2015-02-10,171.7356414794922,SPY,US
2015-02-11,171.8351593017578,SPY,US
2015-02-12,173.4877471923828,SPY,US
2015-02-13,174.2018585205078,SPY,US
2015-02-17,174.4759063720703,SPY,US
2015-02-18,174.4925079345703,SPY,US
2015-02-19,174.36790466308594,SPY,US
2015-02-20,175.41424560546875,SPY,US
2015-02-23,175.38934326171875,SPY,US
