Date,Adj_Close,Ticker,Market
2/1/2014,148.9860077,SPY,US
3/1/2014,148.9616241,SPY,US
6/1/2014,148.5299072,SPY,US
7/1/2014,149.4421997,SPY,US
8/1/2014,149.4747162,SPY,US
9/1/2014,149.572525,SPY,US
10/1/2014,149.9797211,SPY,US
13/1/2014,147.9842072,SPY,US
14/1/2014,149.5968475,SPY,US
15/1/2014,150.4032745,SPY,US
16/1/2014,150.2078247,SPY,US
17/1/2014,149.572525,SPY,US
21/1/2014,150.0122833,SPY,US
22/1/2014,150.1100922,SPY,US
23/1/2014,148.8801575,SPY,US
24/1/2014,145.7036438,SPY,US
27/1/2014,144.9869232,SPY,US
28/1/2014,145.850296,SPY,US
29/1/2014,144.4493408,SPY,US
30/1/2014,145.9806061,SPY,US
31/1/2014,145.1253357,SPY,US
3/2/2014,141.8592834,SPY,US
4/2/2014,142.8529663,SPY,US
5/2/2014,142.6737671,SPY,US
6/2/2014,144.5552216,SPY,US
7/2/2014,146.3470917,SPY,US
10/2/2014,146.6159363,SPY,US
11/2/2014,148.2203979,SPY,US
12/2/2014,148.2937317,SPY,US
13/2/2014,149.0593719,SPY,US
14/2/2014,149.8820038,SPY,US
18/2/2014,150.0611877,SPY,US
19/2/2014,149.0674744,SPY,US
20/2/2014,149.947113,SPY,US
21/2/2014,149.7760925,SPY,US
24/2/2014,150.6069031,SPY,US
25/2/2014,150.5498352,SPY,US
26/2/2014,150.5579987,SPY,US
27/2/2014,151.3480377,SPY,US
28/2/2014,151.7308044,SPY,US
3/3/2014,150.6638184,SPY,US
4/3/2014,152.7815552,SPY,US
5/3/2014,152.9199982,SPY,US
6/3/2014,153.2702942,SPY,US
7/3/2014,153.335434,SPY,US
10/3/2014,153.2539673,SPY,US
11/3/2014,152.4964905,SPY,US
12/3/2014,152.5372009,SPY,US
13/3/2014,150.826828,SPY,US
14/3/2014,150.4032745,SPY,US
17/3/2014,151.7634583,SPY,US
18/3/2014,152.8466949,SPY,US
19/3/2014,152.0322418,SPY,US
20/3/2014,152.9199982,SPY,US
21/3/2014,152.3269043,SPY,US
24/3/2014,151.6969757,SPY,US
25/3/2014,152.4169312,SPY,US
26/3/2014,151.320694,SPY,US
27/3/2014,151.0016022,SPY,US
28/3/2014,151.7460632,SPY,US
31/3/2014,152.9895782,SPY,US
1/4/2014,154.003952,SPY,US
2/4/2014,154.5193481,SPY,US
3/4/2014,154.3148651,SPY,US
4/4/2014,152.4905548,SPY,US
7/4/2014,150.8052673,SPY,US
8/4/2014,151.4270325,SPY,US
9/4/2014,153.0549927,SPY,US
10/4/2014,149.8399353,SPY,US
11/4/2014,148.490097,SPY,US
14/4/2014,149.6599884,SPY,US
15/4/2014,150.6907654,SPY,US
16/4/2014,152.2696533,SPY,US
17/4/2014,152.4823608,SPY,US
21/4/2014,153.0141144,SPY,US
22/4/2014,153.7095337,SPY,US
23/4/2014,153.349472,SPY,US
24/4/2014,153.6603699,SPY,US
25/4/2014,152.4004517,SPY,US
28/4/2014,152.8832092,SPY,US
29/4/2014,153.5949249,SPY,US
30/4/2014,154.0530548,SPY,US
1/5/2014,154.0694427,SPY,US
2/5/2014,153.848526,SPY,US
5/5/2014,154.1430206,SPY,US
6/5/2014,152.8013916,SPY,US
7/5/2014,153.7012787,SPY,US
8/5/2014,153.5377197,SPY,US
9/5/2014,153.7667389,SPY,US
12/5/2014,155.2638245,SPY,US
13/5/2014,155.4029388,SPY,US
14/5/2014,154.6666107,SPY,US
